,location_name,from,to
268,On W 118th St From S Artesian Ave To S Maplewood Ave,W 118th St And S Artesian Ave,W 118th St And S Maplewood Ave
269,On W 116th St From S Artesian Ave To S Campbell Ave,W 116th St And S Artesian Ave,W 116th St And S Campbell Ave
270,On W 116th St From S Western Ave To S Artesian Ave,W 116th St And S Western Ave,W 116th St And S Artesian Ave
271,On W 118th St From S Western Ave To S Artesian Ave,W 118th St And S Western Ave,W 118th St And S Artesian Ave
272,On E 96th St From S Luella Ave To S Brennan Ave,E 96th St And S Luella Ave,E 96th St And S Brennan Ave
273,On E 97th St From S Crandon Ave To S Luella Ave,E 97th St And S Crandon Ave,E 97th St And S Luella Ave
274,On E 98th St From S Oglesby Ave To S Crandon Ave,E 98th St And S Oglesby Ave,E 98th St And S Crandon Ave
275,On S Oglesby Ave From E 98th St To E 99th St,S Oglesby Ave And E 98th St,S Oglesby Ave And E 99th St
276,On E 96th St From S Luella Ave To S Merrion Ave,E 96th St And S Luella Ave,E 96th St And S Merrion Ave
277,On E 97th St From S Oglesby Ave To S Crandon Ave,E 97th St And S Oglesby Ave,E 97th St And S Crandon Ave
278,On S Luella Ave From E 97th St To E 96th St,S Luella Ave And E 97th St,S Luella Ave And E 96th St
279,S Oglesby Ave And E 99th St,S Oglesby Ave And E 99th St,
280,On N Kimball Ave From W Peterson Ave To W Granville Ave,N Kimball Ave And W Peterson Ave,N Kimball Ave And W Granville Ave
281,On W Granville Ave From N Ridgeway Ave To N Monticello Ave,W Granville Ave And N Ridgeway Ave,W Granville Ave And N Monticello Ave
282,On N Lawndale Ave From W Peterson Ave To W Granville Ave,N Lawndale Ave And W Peterson Ave,N Lawndale Ave And W Granville Ave
283,On W Peterson Ave From N North Shore Channel To N Kedvale Ave,W Peterson Ave And N North Shore Channel,W Peterson Ave And N Kedvale Ave
284,On S Leavitt St From W 101st St To W 102nd St,S Leavitt St And W 101st St,S Leavitt St And W 102nd St
285,On W 101st St From S Hoyne Ave To S Bell Ave,W 101st St And S Hoyne Ave,W 101st St And S Bell Ave
286,S Seeley Ave And W 101st Pl,S Seeley Ave And W 101st Pl,
287,On W 101st St From S Damen Ave To S Hoyne Ave,W 101st St And S Damen Ave,W 101st St And S Hoyne Ave
288,S Damen Ave And W 100th St,S Damen Ave And W 100th St,
289,E 95th St And S Cottage Grove Ave,E 95th St And S Cottage Grove Ave,
290,On E 75th St From S Langley Ave To S Cottage Grove Ave,E 75th St And S Langley Ave,E 75th St And S Cottage Grove Ave
291,On S Evans Ave From E 74th St To E 75th St,S Evans Ave And E 74th St,S Evans Ave And E 75th St
292,On E 75th St From S Rhodes Ave To S Champlain Ave,E 75th St And S Rhodes Ave,E 75th St And S Champlain Ave
293,On E 96th St From S Avalon Ave To S Woodlawn Ave,E 96th St And S Avalon Ave,E 96th St And S Woodlawn Ave
294,On S Avalon Ave From E 97th St To E 96th St,S Avalon Ave And E 97th St,S Avalon Ave And E 96th St
295,On E 97th St From S Dobson Ave To S Avalon Ave,E 97th St And S Dobson Ave,E 97th St And S Avalon Ave
296,On S Woodlawn Ave From E 97th St To E 96th St,S Woodlawn Ave And E 97th St,S Woodlawn Ave And E 96th St
297,On E 92nd St From S Anthony Ave To S Essex Ave,E 92nd St And S Anthony Ave,E 92nd St And S Essex Ave
298,On E 92nd St From S Saginaw Ave To S Colfax Ave,E 92nd St And S Saginaw Ave,E 92nd St And S Colfax Ave
299,On E 95th Pl From S Calhoun Ave To S Oglesby Ave,E 95th Pl And S Calhoun Ave,E 95th Pl And S Oglesby Ave
300,2400-2500 E 95th St,2400 E 95th St,2500 E 95th St
301,On E 80th St From S Jeffery Blvd To S Chappel Ave,E 80th St And S Jeffery Blvd,E 80th St And S Chappel Ave
302,On E 82nd St From S Chappel Ave To S Euclid Ave,E 82nd St And S Chappel Ave,E 82nd St And S Euclid Ave
303,On S Jeffery Blvd From E 79th St To E 80th St,S Jeffery Blvd And E 79th St,S Jeffery Blvd And E 80th St
304,On E 80th St From S Jeffery Blvd To S Euclid Ave,E 80th St And S Jeffery Blvd,E 80th St And S Euclid Ave
305,On E 82nd St From S Euclid Ave To S South Chicago Ave,E 82nd St And S Euclid Ave,E 82nd St And S South Chicago Ave
306,On S Merrill Ave From E 81st St To E 82nd St,S Merrill Ave And E 81st St,S Merrill Ave And E 82nd St
307,On E 110th St From S Avenue L To S State Line Rd,E 110th St And S Avenue L,E 110th St And S State Line Rd
308,On S Avenue L From E 107th St To E 109th St,S Avenue L And E 107th St,S Avenue L And E 109th St
309,On E 110th St From S Avenue O To S Avenue B,E 110th St And S Avenue O,E 110th St And S Avenue B
310,On E 92nd Pl From S St Lawrence Ave To S Cottage Grove Ave,E 92nd Pl And S St Lawrence Ave,E 92nd Pl And S Cottage Grove Ave
311,On S St Lawrence Ave From E 92nd Pl To E 91st Pl,S St Lawrence Ave And E 92nd Pl,S St Lawrence Ave And E 91st Pl
312,On E 92nd St From S Eberhart Ave To S St Lawrence Ave,E 92nd St And S Eberhart Ave,E 92nd St And S St Lawrence Ave
313,On N Hiawatha Ave From N Forest Glen Ave To N Kilpatrick Ave,N Hiawatha Ave And N Forest Glen Ave,N Hiawatha Ave And N Kilpatrick Ave
314,On W Peterson Ave From N Kilbourn Ave To N Forest Glen Ave,W Peterson Ave And N Kilbourn Ave,W Peterson Ave And N Forest Glen Ave
315,On N Leoti Ave From N Spokane Ave To N Le Mai Ave,N Leoti Ave And N Spokane Ave,N Leoti Ave And N Le Mai Ave
316,On W Devon Ave From N Caldwell Ave To N Spokane Ave,W Devon Ave And N Caldwell Ave,W Devon Ave And N Spokane Ave
317,On N Drake Ave From W Huron St To W Chicago Ave,N Drake Ave And W Huron St,N Drake Ave And W Chicago Ave
318,On W Chicago Ave From N St Louis Ave To N Central Park Ave,W Chicago Ave And N St Louis Ave,W Chicago Ave And N Central Park Ave
319,On W Augusta Blvd From N Trumbull Ave To N Drake Ave,W Augusta Blvd And N Trumbull Ave,W Augusta Blvd And N Drake Ave
320,On S Bishop St From W 85th St To W 86th St,S Bishop St And W 85th St,S Bishop St And W 86th St
321,On W 86th St From S Bishop St To S Justine St,W 86th St And S Bishop St,W 86th St And S Justine St
322,On W 86th St From S Racine Ave To S Throop St,W 86th St And S Racine Ave,W 86th St And S Throop St
323,On S Racine Ave From W 85th St To W 86th St,S Racine Ave And W 85th St,S Racine Ave And W 86th St
324,On W 86th St From S Bishop St To S Loomis Blvd,W 86th St And S Bishop St,W 86th St And S Loomis Blvd
326,On N Rockwell St From N Lincoln Ave To W Rascher Ave,N Rockwell St And N Lincoln Ave,N Rockwell St And W Rascher Ave
327,W Bryn Mawr Ave And N Campbell Ave,W Bryn Mawr Ave And N Campbell Ave,
328,N Rockwell St And W Catalpa Ave,N Rockwell St And W Catalpa Ave,
329,W Hollywood Ave And N Rockwell St,W Hollywood Ave And N Rockwell St,
330,On S Cottage Grove Ave From E 41st St To E 43rd St,S Cottage Grove Ave And E 41st St,S Cottage Grove Ave And E 43rd St
331,On N Octavia Ave From W Ibsen St To W Estes Ave,N Octavia Ave And W Ibsen St,N Octavia Ave And W Estes Ave
332,6858-7044 N Octavia Ave,6858 N Octavia Ave,7044 N Octavia Ave
333,On N Odell Ave From W Ibsen St To W Estes Ave,N Odell Ave And W Ibsen St,N Odell Ave And W Estes Ave
334,On W Diversey Pkwy From N Sheffield Ave To N Seminary Ave,W Diversey Pkwy And N Sheffield Ave,W Diversey Pkwy And N Seminary Ave
335,N Kenmore Ave And W Diversey Pkwy,N Kenmore Ave And W Diversey Pkwy,
336,On E 72nd St From S Phillips Ave To S Exchange Ave,E 72nd St And S Phillips Ave,E 72nd St And S Exchange Ave
337,On S Kingston Ave From E 74th St To E 75th St,S Kingston Ave And E 74th St,S Kingston Ave And E 75th St
338,On S Colfax Ave From E 74th St To E 75th St,S Colfax Ave And E 74th St,S Colfax Ave And E 75th St
339,On S Perry Ave From W 112th Pl To W 114th St,S Perry Ave And W 112th Pl,S Perry Ave And W 114th St
340,On W 112th Pl From S Perry Ave To S State St,W 112th Pl And S Perry Ave,W 112th Pl And S State St
341,On S State St From W 112th St To W 111th St,S State St And W 112th St,S State St And W 111th St
342,On W 113th Pl From S Wentworth Ave To S Perry Ave,W 113th Pl And S Wentworth Ave,W 113th Pl And S Perry Ave
344,On E 104th St From S Avenue O To S Avenue E,E 104th St And S Avenue O,E 104th St And S Avenue E
345,On S Avenue E From E 104th St To E 105th St,S Avenue E And E 104th St,S Avenue E And E 105th St
346,On E 96th St From S Houston Ave To S Marquette Ave,E 96th St And S Houston Ave,E 96th St And S Marquette Ave
347,On S Peoria St From W 128th Pl To W Vermont St,S Peoria St And W 128th Pl,S Peoria St And W Vermont St
348,On W 128th Pl From S Halsted St To S Emerald Ave,W 128th Pl And S Halsted St,W 128th Pl And S Emerald Ave
349,On W Vermont St From S Sangamon St To S Morgan St,W Vermont St And S Sangamon St,W Vermont St And S Morgan St
350,On W 128th Pl From S Emerald Ave To S Lowe Ave,W 128th Pl And S Emerald Ave,W 128th Pl And S Lowe Ave
351,On W 128th Pl From S Lowe Ave To S Wallace St,W 128th Pl And S Lowe Ave,W 128th Pl And S Wallace St
352,On S Homan Ave From W 53rd Pl To W 54th Pl,S Homan Ave And W 53rd Pl,S Homan Ave And W 54th Pl
353,On W 54th St From S Spaulding Ave To S Christiana Ave,W 54th St And S Spaulding Ave,W 54th St And S Christiana Ave
354,On W 54th St From S Homan Ave To S St Louis Ave,W 54th St And S Homan Ave,W 54th St And S St Louis Ave
355,On E 80th St From S Eberhart Ave To S Rhodes Ave,E 80th St And S Eberhart Ave,E 80th St And S Rhodes Ave
356,On E 80th St From S Rhodes Ave To S St Lawrence Ave,E 80th St And S Rhodes Ave,E 80th St And S St Lawrence Ave
357,On E 81st St From S Vernon Ave To S Evans Ave,E 81st St And S Vernon Ave,E 81st St And S Evans Ave
358,On E 80th St From S Evans Ave To S Champlain Ave,E 80th St And S Evans Ave,E 80th St And S Champlain Ave
359,On E 80th St From S Vernon Ave To S Eberhart Ave,E 80th St And S Vernon Ave,E 80th St And S Eberhart Ave
360,On N Northwest Hwy From N Oshkosh Ave To N Ozark Ave,N Northwest Hwy And N Oshkosh Ave,N Northwest Hwy And N Ozark Ave
361,On N Ozark Ave From N Northwest Hwy To N Olmsted Ave,N Ozark Ave And N Northwest Hwy,N Ozark Ave And N Olmsted Ave
362,On N Olympia Ave From N Oketo Ave To N Northwest Hwy,N Olympia Ave And N Oketo Ave,N Olympia Ave And N Northwest Hwy
363,On W Pratt Ave From N Oliphant Ave To N Oriole Ave,W Pratt Ave And N Oliphant Ave,W Pratt Ave And N Oriole Ave
364,On S Normal Ave From W 35th St To W Pershing Rd,S Normal Ave And W 35th St,S Normal Ave And W Pershing Rd
365,On W 37th St From S Parnell Ave To S Normal Ave,W 37th St And S Parnell Ave,W 37th St And S Normal Ave
366,On S Central Park Ave From W 86th St To W 87th St,S Central Park Ave And W 86th St,S Central Park Ave And W 87th St
367,On W 86th Pl From S Lawndale Ave To S Central Park Ave,W 86th Pl And S Lawndale Ave,W 86th Pl And S Central Park Ave
368,On S Lawndale Ave From W 86th St To W 85th St,S Lawndale Ave And W 86th St,S Lawndale Ave And W 85th St
369,W Lawrence Ave And N Cicero Ave,W Lawrence Ave And N Cicero Ave,
370,On N Monitor Ave From N Indian Rd To W Peterson Ave,N Monitor Ave And N Indian Rd,N Monitor Ave And W Peterson Ave
371,On W Peterson Ave From N Monitor Ave To N Austin Ave,W Peterson Ave And N Monitor Ave,W Peterson Ave And N Austin Ave
373,On S Kolmar Ave From W 68th St To W Marquette Rd,S Kolmar Ave And W 68th St,S Kolmar Ave And W Marquette Rd
374,On W 68th St From S Kilbourn Ave To S Kolmar Ave,W 68th St And S Kilbourn Ave,W 68th St And S Kolmar Ave
375,On S Woodlawn Ave From E 79th St To E 81st Pl,S Woodlawn Ave And E 79th St,S Woodlawn Ave And E 81st Pl
376,On S Woodlawn Ave From E 82nd Pl To E 83rd St,S Woodlawn Ave And E 82nd Pl,S Woodlawn Ave And E 83rd St
377,On S Archer Ave From S Rockwell St To S Sacramento Ave,S Archer Ave And S Rockwell St,S Archer Ave And S Sacramento Ave
378,On S Trumbull Ave From W 46th St To W 45th St,S Trumbull Ave And W 46th St,S Trumbull Ave And W 45th St
379,On W 46th St From S Kedzie Ave To S Trumbull Ave,W 46th St And S Kedzie Ave,W 46th St And S Trumbull Ave
380,On W 45th St From S Trumbull Ave To S Drake Ave,W 45th St And S Trumbull Ave,W 45th St And S Drake Ave
381,On N Leamington Ave From W Ferdinand St To W Ohio St,N Leamington Ave And W Ferdinand St,N Leamington Ave And W Ohio St
382,On E 94th St From S Forest Ave To S Indiana Ave,E 94th St And S Forest Ave,E 94th St And S Indiana Ave
383,On W Eddy St From N Lamon Ave To N Leclaire Ave,W Eddy St And N Lamon Ave,W Eddy St And N Leclaire Ave
384,N Kenton Ave And W Fullerton Ave,N Kenton Ave And W Fullerton Ave,
385,On W 61st St From S Major Ave To S Mason Ave,W 61st St And S Major Ave,W 61st St And S Mason Ave
386,On W 72nd St From S Emerald Ave To S Eggleston Ave,W 72nd St And S Emerald Ave,W 72nd St And S Eggleston Ave
388,S Oakley Ave And W 91st St,S Oakley Ave And W 91st St,
393,On E 86th St From S Jeffery Blvd To S Cregier Ave,E 86th St And S Jeffery Blvd,E 86th St And S Cregier Ave
394,On W 50th St From S Western Ave To S Oakley Ave,W 50th St And S Western Ave,W 50th St And S Oakley Ave
395,On W 54th St From S Kenneth Ave To S Kolin Ave,W 54th St And S Kenneth Ave,W 54th St And S Kolin Ave
396,On W 62nd St From S Hamlin Ave To S Lawndale Ave,W 62nd St And S Hamlin Ave,W 62nd St And S Lawndale Ave
397,On W Albion Ave From N Sayre Ave To N Nixon Ave,W Albion Ave And N Sayre Ave,W Albion Ave And N Nixon Ave
398,On W Byron St From N Sayre Ave To N Nottingham Ave,W Byron St And N Sayre Ave,W Byron St And N Nottingham Ave
400,On W Cortland St From N Sayre Ave To N Neva Ave,W Cortland St And N Sayre Ave,W Cortland St And N Neva Ave
401,On W Estes Ave From N Ionia Ave To N Mason Ave,W Estes Ave And N Ionia Ave,W Estes Ave And N Mason Ave
402,On W Hirsch St From N Spaulding Ave To N Kedzie Ave,W Hirsch St And N Spaulding Ave,W Hirsch St And N Kedzie Ave
403,On W Madison St From S Francisco Ave To S Sacramento Blvd,W Madison St And S Francisco Ave,W Madison St And S Sacramento Blvd
404,On W Ohio St From N Kedzie Ave To N Albany Ave,W Ohio St And N Kedzie Ave,W Ohio St And N Albany Ave
405,On W 46th St From S Laflin St To S Bishop St,W 46th St And S Laflin St,W 46th St And S Bishop St
406,On W School St From N Octavia Ave To N Oconto Ave,W School St And N Octavia Ave,W School St And N Oconto Ave
407,On W Washington Blvd From N Laramie Ave To N Latrobe Ave,W Washington Blvd And N Laramie Ave,W Washington Blvd And N Latrobe Ave
408,On W Winnemac Ave From N Glenwood Ave To N Clark St,W Winnemac Ave And N Glenwood Ave,W Winnemac Ave And N Clark St
409,N Kentucky Ave And N Kilbourn Ave,N Kentucky Ave And N Kilbourn Ave,
410,N Oketo Ave And W School St,N Oketo Ave And W School St,
411,N Spaulding Ave And N Elston Ave,N Spaulding Ave And N Elston Ave,
412,S Christiana Ave And W 54th St,S Christiana Ave And W 54th St,
413,S Drake Ave And W Cermak Rd,S Drake Ave And W Cermak Rd,
414,S Lafayette Ave And W 122nd St,S Lafayette Ave And W 122nd St,
415,S Perry Ave And W 122nd St,S Perry Ave And W 122nd St,
416,W 60th St And W 62nd St,W 60th St And W 62nd St,
417,W Cullom Ave And N Campbell Ave,W Cullom Ave And N Campbell Ave,
418,On W School St From N Western Ave To N Claremont Ave,W School St And N Western Ave,W School St And N Claremont Ave
419,On W 122nd St From S Perry Ave To S Lafayette Ave,W 122nd St And S Perry Ave,W 122nd St And S Lafayette Ave
420,W Pensacola Ave And N Campbell Ave,W Pensacola Ave And N Campbell Ave,
421,On W 101st St From S Oakley Ave To S Bell Ave,W 101st St And S Oakley Ave,W 101st St And S Bell Ave
422,On N Fairfield Ave From W Augusta Blvd To W Iowa St,N Fairfield Ave And W Augusta Blvd,N Fairfield Ave And W Iowa St
423,On N Hoyne Ave From W Moffat St To W Churchill St,N Hoyne Ave And W Moffat St,N Hoyne Ave And W Churchill St
424,On N Keeler Ave From N Sauganash Ave To W Glenlake Ave,N Keeler Ave And N Sauganash Ave,N Keeler Ave And W Glenlake Ave
425,On N Kenneth Ave From W Lawrence Ave To W Ainslie St,N Kenneth Ave And W Lawrence Ave,N Kenneth Ave And W Ainslie St
426,On N Kilbourn Ave From W Carmen Ave To N Kentucky Ave,N Kilbourn Ave And W Carmen Ave,N Kilbourn Ave And N Kentucky Ave
427,On N Laporte Ave From W Palmer St To W Belden Ave,N Laporte Ave And W Palmer St,N Laporte Ave And W Belden Ave
428,On W 108th St From S Sacramento Ave To S Troy St,W 108th St And S Sacramento Ave,W 108th St And S Troy St
429,On N Leavitt St From W Waveland Ave To W Bradley Pl,N Leavitt St And W Waveland Ave,N Leavitt St And W Bradley Pl
430,On N Lotus Ave From W Addison St To W Waveland Ave,N Lotus Ave And W Addison St,N Lotus Ave And W Waveland Ave
431,On N Lowell Ave From W Ainslie St To W Argyle St,N Lowell Ave And W Ainslie St,N Lowell Ave And W Argyle St
432,On N Menard Ave From W Lawrence Ave To W Strong St,N Menard Ave And W Lawrence Ave,N Menard Ave And W Strong St
433,On N Nordica Ave From W Devon Ave To W Albion Ave,N Nordica Ave And W Devon Ave,N Nordica Ave And W Albion Ave
434,On N Leamington Ave From W Grand Ave To W Dickens Ave,N Leamington Ave And W Grand Ave,N Leamington Ave And W Dickens Ave
435,On N Sayre Ave From W Grace St To W Irving Park Rd,N Sayre Ave And W Grace St,N Sayre Ave And W Irving Park Rd
436,On S Bell Ave From W 101st St To W 102nd St,S Bell Ave And W 101st St,S Bell Ave And W 102nd St
437,On S Dorchester Ave From E Hyde Park Blvd To E 50th St,S Dorchester Ave And E Hyde Park Blvd,S Dorchester Ave And E 50th St
438,On S Hartwell Ave From E Marquette Rd To E 66th Pl,S Hartwell Ave And E Marquette Rd,S Hartwell Ave And E 66th Pl
439,On S Homan Ave From W 53rd St To W 54th Pl,S Homan Ave And W 53rd St,S Homan Ave And W 54th Pl
440,On S Kenneth Ave From W 55th St To W 54th St,S Kenneth Ave And W 55th St,S Kenneth Ave And W 54th St
441,On S Michigan Ave From E Marquette Rd To E 66th Pl,S Michigan Ave And E Marquette Rd,S Michigan Ave And E 66th Pl
442,On S Oakley Ave From W 50th St To W 50th Pl,S Oakley Ave And W 50th St,S Oakley Ave And W 50th Pl
443,On S Springfield Ave From W 59th Pl To W 61st Pl,S Springfield Ave And W 59th Pl,S Springfield Ave And W 61st Pl
445,On S Whipple St From W 107th St To W 106th St,S Whipple St And W 107th St,S Whipple St And W 106th St
446,On N Richmond St From N Lincoln Ave To W Peterson Ave,N Richmond St And N Lincoln Ave,N Richmond St And W Peterson Ave
447,On W Leland Ave From N Kedzie Ave To N Spaulding Ave,W Leland Ave And N Kedzie Ave,W Leland Ave And N Spaulding Ave
448,On W Glenlake Ave From N Keeler Ave To N Tripp Ave,W Glenlake Ave And N Keeler Ave,W Glenlake Ave And N Tripp Ave
449,On W Cullerton St From S Karlov Ave To S Kostner Ave,W Cullerton St And S Karlov Ave,W Cullerton St And S Kostner Ave
450,On W Cortland St From N Long Ave To N Luna Ave,W Cortland St And N Long Ave,W Cortland St And N Luna Ave
451,On W 46th St From S Pulaski Rd To S Keeler Ave,W 46th St And S Pulaski Rd,W 46th St And S Keeler Ave
452,On W Argyle St From N Damen Ave To N Hoyne Ave,W Argyle St And N Damen Ave,W Argyle St And N Hoyne Ave
453,On W 91st St From S Hoyne Ave To S Claremont Ave,W 91st St And S Hoyne Ave,W 91st St And S Claremont Ave
454,On W 60th St From S Pulaski Rd To S Springfield Ave,W 60th St And S Pulaski Rd,W 60th St And S Springfield Ave
455,On W 54th St From S Kedzie Ave To S St Louis Ave,W 54th St And S Kedzie Ave,W 54th St And S St Louis Ave
