,project_number,location_name,year_range,from,to
1137,[170 -02] 32926,On N Wolcott Ave From W Lawrence Ave To W Winnemac Ave,2015-2019,N Wolcott Ave And W Lawrence Ave,N Wolcott Ave And W Winnemac Ave
1177,[170 -02] 37793,On W 70th St From S Justine St To S Bishop St,2015-2019,W 70th St And S Justine St,W 70th St And S Bishop St
1193,[170 -02] 37793,On N Sedgwick St From W Chicago Ave To W Oak St,2015-2019,N Sedgwick St And W Chicago Ave,N Sedgwick St And W Oak St
1204,[170 -02] 37793,On W 70th St From S Ashland Ave To S Justine St,2015-2019,W 70th St And S Ashland Ave,W 70th St And S Justine St
1225,[170 -02] 37793,On N Washtenaw Ave From W Berwyn Ave To W Foster Ave,2015-2019,N Washtenaw Ave And W Berwyn Ave,N Washtenaw Ave And W Foster Ave
1241,[170 -02] 37794,On W Carmen Ave From N Ravenswood Ave To N Paulina St,2015-2019,W Carmen Ave And N Ravenswood Ave,W Carmen Ave And N Paulina St
1252,[170 -02] 37794,On S St Louis Ave From W 77th St To W 78th St,2015-2019,S St Louis Ave And W 77th St,S St Louis Ave And W 78th St
1253,[170 -02] 37794,On S Scottsdale Ave From W 81st St To S Knox Ave,2015-2019,S Scottsdale Ave And W 81st St,S Scottsdale Ave And S Knox Ave
1304,[170 -02] 37794,On S Clark St From W 21st St To S Archer Ave,2015-2019,S Clark St And W 21st St,S Clark St And S Archer Ave
1312,[170 -02] 37794,On S St Louis Ave From W 75th St To W 76th St,2015-2019,S St Louis Ave And W 75th St,S St Louis Ave And W 76th St
1387,[170 -02] 38390,On W 125th St From S Parnell Ave To S Wentworth Ave,2015-2019,W 125th St And S Parnell Ave,W 125th St And S Wentworth Ave
1389,[170 -02] 38390,On W 125th St From S Wentworth Ave To S Harvard Ave,2015-2019,W 125th St And S Wentworth Ave,W 125th St And S Harvard Ave
1411,[170 -02] 38787,On W Jarvis Ave From N Oriole Ave To N Ottawa Ave,2015-2019,W Jarvis Ave And N Oriole Ave,W Jarvis Ave And N Ottawa Ave
1512,[170 -02] 38893,On W Chicago Ave From N St Louis Ave To N Central Park Ave,2015-2019,W Chicago Ave And N St Louis Ave,W Chicago Ave And N Central Park Ave
1548,[170 -02] 39567,On W Pratt Ave From N Oliphant Ave To N Oriole Ave,2015-2019,W Pratt Ave And N Oliphant Ave,W Pratt Ave And N Oriole Ave
1592,[170 -04] 37898,On N Ashland Ave From W Edgewater Ave To W Bryn Mawr Ave,2016-2020,N Ashland Ave And W Edgewater Ave,N Ashland Ave And W Bryn Mawr Ave
1641,[170 -04] 37898,On N Kedzie Ave From W Walnut St To W Lake St,2016-2020,N Kedzie Ave And W Walnut St,N Kedzie Ave And W Lake St
1650,[170 -04] 37898,On N Claremont Ave From N Division St To N Potomac Ave,2016-2020,N Claremont Ave And N Division St,N Claremont Ave And N Potomac Ave
